Sample No.,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key
104,0,0,0,0,0.142857143,0,0,0,0.285714286,0,0,0.571428571,5
105,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0.714285714,17
106,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0,0,0.571428571,3
107,0,0,0,0,0.142857143,0,0.142857143,0.285714286,0,0.142857143,0,0.285714286,3
108,0,0,0,0,0.142857143,0,0.714285714,0.071428571,0.071428571,0,0,0,19
109,0,0,0,0,0.142857143,0.142857143,0,0,0.214285714,0.142857143,0,0.357142857,19
110,0,0,0,0,0.142857143,0.142857143,0,0,0.238095238,0.095238095,0,0.380952381,19
111,0,0,0,0,0.166666667,0,0,0,0.166666667,0.333333333,0,0.333333333,10
112,0,0,0,0,0.166666667,0,0,0,0.333333333,0,0,0.5,5
113,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0.666666667,17
114,0,0,0,0,0.166666667,0,0.027777778,0,0.25,0.277777778,0,0.277777778,10
115,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0,0.333333333,17
116,0,0,0,0,0.166666667,0,0.166666667,0.333333333,0,0,0,0.333333333,3
117,0,0,0,0,0.166666667,0,0.333333333,0,0.333333333,0.055555556,0,0.111111111,5
118,0,0,0,0,0.166666667,0,0.5,0,0.166666667,0.166666667,0,0,10
119,0,0,0,0,0.166666667,0,0.833333333,0,0,0,0,0,19
120,0,0,0,0,0.173913043,0,0.434782609,0.260869565,0,0.130434783,0,0,20
121,0,0,0,0,0.185185185,0,0.037037037,0.222222222,0,0.037037037,0,0.518518519,24
122,0,0,0,0,0.2,0,0,0,0,0.4,0,0.4,5
123,0,0,0,0,0.2,0,0,0.4,0,0,0,0.4,3
124,0,0,0,0,0.2,0,0.1,0,0,0.5,0,0.2,5
125,0,0,0,0,0.2,0,0.1,0,0.4,0.1,0,0.2,5
126,0,0,0,0,0.2,0,0.2,0,0,0.4,0.2,0,24
127,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2,1
128,0,0,0,0,0.2,0,0.2,0.1,0,0,0,0.5,3
129,0,0,0,0,0.2,0,0.2,0.4,0,0,0,0.2,3
130,0,0,0,0,0.2,0,0.4,0,0.2,0.2,0,0,19
131,0,0,0,0,0.217391304,0,0.434782609,0.217391304,0,0.130434783,0,0,20
132,0,0,0,0,0.222222222,0,0,0.222222222,0,0,0,0.555555556,17
133,0,0,0,0,0.222222222,0,0.277777778,0,0.388888889,0.055555556,0,0.055555556,19
134,0,0,0,0,0.238095238,0,0.047619048,0.476190476,0,0,0,0.238095238,17
135,0,0,0,0,0.25,0,0,0.25,0,0,0,0.5,17
136,0,0,0,0,0.25,0,0,0.25,0,0.5,0,0,22
137,0,0,0,0,0.25,0,0,0.375,0,0.25,0,0.125,1
138,0,0,0,0,0.25,0,0.0625,0.375,0,0.0625,0,0.25,17
139,0,0,0,0,0.25,0,0.125,0,0.25,0,0,0.375,5
140,0,0,0,0,0.25,0,0.125,0.35,0,0.125,0,0.15,17
141,0,0,0,0,0.25,0,0.25,0,0,0,0,0.5,5
142,0,0,0,0,0.25,0,0.25,0,0,0.5,0,0,22
143,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0.25,5
144,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0.25,10
145,0,0,0,0,0.25,0,0.25,0,0.375,0,0,0.125,5
146,0,0,0,0,0.25,0,0.333333333,0,0.333333333,0,0,0.083333333,5
147,0,0,0,0,0.257142857,0,0.057142857,0.342857143,0,0.142857143,0,0.2,17
148,0,0,0,0,0.266666667,0,0.066666667,0,0.333333333,0,0,0.333333333,5
149,0,0,0,0,0.269230769,0,0,0,0.346153846,0,0,0.384615385,12
150,0,0,0,0,0.272727273,0,0.060606061,0.484848485,0,0.060606061,0,0.121212121,17
151,0,0,0,0,0.28,0,0.08,0,0.32,0,0,0.32,5
152,0,0,0,0,0.285714286,0,0,0,0.285714286,0,0,0.428571429,5
153,0,0,0,0,0.285714286,0,0,0.142857143,0,0,0,0.571428571,17
154,0,0,0,0,0.285714286,0,0,0.285714286,0,0,0,0.428571429,3
155,0,0,0,0,0.285714286,0,0,0.285714286,0,0,0,0.428571429,17
156,0,0,0,0,0.285714286,0,0,0.285714286,0,0.285714286,0,0.142857143,22
157,0,0,0,0,0.285714286,0,0.071428571,0.392857143,0,0.071428571,0,0.178571429,17
158,0,0,0,0,0.285714286,0,0.095238095,0.333333333,0,0.095238095,0,0.19047619,17
159,0,0,0,0,0.291666667,0,0,0.458333333,0,0,0,0.25,1
160,0,0,0,0,0.3,0,0.1,0,0.3,0,0,0.3,5
161,0,0,0,0,0.3,0,0.2,0,0.3,0.1,0,0.1,5
162,0,0,0,0,0.307692308,0,0.076923077,0,0.307692308,0,0,0.307692308,5
163,0,0,0,0,0.307692308,0,0.076923077,0,0.384615385,0,0,0.230769231,5
164,0,0,0,0,0.315789474,0,0,0.210526316,0,0,0,0.473684211,17
165,0,0,0,0,0.318181818,0,0,0.181818182,0,0,0,0.5,17
166,0,0,0,0,0.32,0,0,0.44,0,0,0,0.24,1
167,0,0,0,0,0.32,0,0.08,0,0.32,0,0,0.28,5
168,0,0,0,0,0.324324324,0,0,0.331081081,0,0.013513514,0,0.331081081,17
169,0,0,0,0,0.326732673,0,0,0.326732673,0,0,0,0.346534653,17
170,0,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0,19
171,0,0,0,0,0.333333333,0,0,0,0.166666667,0,0,0.5,5
172,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0,0.333333333,5
173,0,0,0,0,0.333333333,0,0,0,0.5,0,0,0.166666667,5
174,0,0,0,0,0.333333333,0,0,0.111111111,0,0.444444444,0,0.111111111,17
175,0,0,0,0,0.333333333,0,0,0.166666667,0,0,0,0.5,17
176,0,0,0,0,0.333333333,0,0,0.166666667,0,0.333333333,0,0.166666667,22
177,0,0,0,0,0.333333333,0,0,0.166666667,0.166666667,0,0,0.333333333,24
178,0,0,0,0,0.333333333,0,0,0.303030303,0,0.03030303,0,0.333333333,8
179,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,17
180,0,0,0,0,0.333333333,0,0.111111111,0.166666667,0,0.111111111,0,0.277777778,17
181,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0,24
182,0,0,0,0,0.335616438,0,0,0.335616438,0,0,0,0.328767123,17
183,0,0,0,0,0.337931034,0,0,0.331034483,0,0,0,0.331034483,17
184,0,0,0,0,0.347826087,0,0,0.217391304,0,0,0,0.434782609,17
185,0,0,0,0,0.347826087,0,0.043478261,0,0.217391304,0,0,0.391304348,5
186,0,0,0,0,0.35,0,0.1,0,0.3,0,0,0.25,5
187,0,0,0,0,0.352941176,0,0,0.264705882,0,0.029411765,0,0.352941176,8
188,0,0,0,0,0.352941176,0,0,0.294117647,0,0.029411765,0,0.323529412,8
189,0,0,0,0,0.35483871,0,0,0.290322581,0,0,0,0.35483871,8
190,0,0,0,0,0.357142857,0,0.071428571,0,0.285714286,0,0,0.285714286,5
191,0,0,0,0,0.363636364,0,0.090909091,0,0.272727273,0,0,0.272727273,5
192,0,0,0,0,0.366666667,0,0,0.266666667,0,0,0,0.366666667,8
193,0,0,0,0,0.368421053,0,0,0,0.315789474,0.105263158,0,0.210526316,19
194,0,0,0,0,0.368421053,0,0.052631579,0.421052632,0,0.052631579,0,0.105263158,17
195,0,0,0,0,0.37037037,0,0,0.185185185,0,0.037037037,0,0.407407407,17
196,0,0,0,0,0.37037037,0,0,0.296296296,0,0,0,0.333333333,24
197,0,0,0,0,0.37037037,0,0.074074074,0,0.296296296,0,0,0.259259259,5
198,0,0,0,0,0.37037037,0,0.148148148,0.222222222,0,0.074074074,0,0.185185185,17
199,0,0,0,0,0.375,0,0,0.3125,0,0,0,0.3125,17
200,0,0,0,0,0.375,0,0.041666667,0,0.208333333,0,0,0.375,5
201,0,0,0,0,0.377777778,0,0,0.222222222,0,0.044444444,0,0.355555556,17
202,0,0,0,0,0.38,0,0,0.18,0,0.04,0,0.4,17
203,0,0,0,0,0.380952381,0,0,0.238095238,0,0.047619048,0,0.333333333,8
204,0,0,0,0,0.384615385,0,0,0,0.153846154,0,0,0.461538462,19
205,0,0,0,0,0.384615385,0,0,0,0.153846154,0.153846154,0,0.307692308,19
206,0,0,0,0,0.4,0,0,0,0,0.6,0,0,16
207,0,0,0,0,0.4,0,0,0.05,0,0.2,0,0.35,17
208,0,0,0,0,0.4,0,0,0.333333333,0,0,0,0.266666667,17
209,0,0,0,0,0.4,0,0.1,0,0.2,0,0,0.3,5
210,0,0,0,0,0.4,0,0.1,0,0.3,0,0,0.2,19
211,0,0,0,0,0.407407407,0,0,0.37037037,0,0,0,0.222222222,24
212,0,0,0,0,0.407407407,0,0.037037037,0,0.185185185,0,0,0.37037037,21
213,0,0,0,0,0.407407407,0,0.074074074,0.222222222,0,0.037037037,0,0.259259259,17
214,0,0,0,0,0.409090909,0,0,0.181818182,0,0,0,0.409090909,17
215,0,0,0,0,0.421052632,0,0,0.210526316,0,0.105263158,0,0.263157895,17
216,0,0,0,0,0.424242424,0,0.03030303,0,0.242424242,0,0,0.303030303,21
217,0,0,0,0,0.428571429,0,0,0,0.107142857,0.285714286,0,0.178571429,5
218,0,0,0,0,0.428571429,0,0,0,0.142857143,0,0,0.428571429,24
219,0,0,0,0,0.428571429,0,0,0.047619048,0,0.523809524,0,0,15
220,0,0,0,0,0.428571429,0,0,0.142857143,0,0,0,0.428571429,17
221,0,0,0,0,0.428571429,0,0.035714286,0.285714286,0,0.035714286,0,0.214285714,24
222,0,0,0,0,0.428571429,0,0.142857143,0.238095238,0,0,0,0.19047619,17
223,0,0,0,0,0.432432432,0,0.054054054,0.243243243,0,0,0,0.27027027,17
224,0,0,0,0,0.434782609,0,0.043478261,0,0.347826087,0,0,0.173913043,21
225,0,0,0,0,0.43902439,0,0.195121951,0.146341463,0,0.024390244,0,0.195121951,8
226,0,0,0,0,0.44,0,0,0.16,0,0,0,0.4,17
227,0,0,0,0,0.44,0,0.04,0,0.24,0,0,0.28,21
228,0,0,0,0,0.444444444,0,0,0,0,0.555555556,0,0,3
229,0,0,0,0,0.444444444,0,0,0,0.388888889,0.055555556,0,0.111111111,5
230,0,0,0,0,0.444444444,0,0,0.222222222,0,0,0,0.333333333,17
231,0,0,0,0,0.444444444,0,0.037037037,0.185185185,0,0.037037037,0,0.296296296,17
232,0,0,0,0,0.444444444,0,0.037037037,0.222222222,0,0.037037037,0,0.259259259,17
233,0,0,0,0,0.444444444,0,0.111111111,0.222222222,0,0,0,0.222222222,17
234,0,0,0,0,0.45,0,0.025,0.3,0,0,0,0.225,24
235,0,0,0,0,0.45,0,0.05,0.25,0,0.05,0,0.2,17
236,0,0,0,0,0.454545455,0,0,0.151515152,0,0.060606061,0,0.333333333,17
237,0,0,0,0,0.454545455,0,0,0.318181818,0,0,0,0.227272727,24
238,0,0,0,0,0.454545455,0,0.045454545,0,0.272727273,0,0,0.227272727,19
239,0,0,0,0,0.458333333,0,0,0.333333333,0,0,0,0.208333333,17
240,0,0,0,0,0.458333333,0,0.125,0.166666667,0,0,0,0.25,17
241,0,0,0,0,0.461538462,0,0.038461538,0.307692308,0,0,0,0.192307692,24
242,0,0,0,0,0.461538462,0,0.179487179,0.153846154,0,0.025641026,0,0.179487179,8
243,0,0,0,0,0.464285714,0.035714286,0.035714286,0.160714286,0,0.107142857,0.071428571,0.125,1
244,0,0,0,0,0.466666667,0,0,0,0.266666667,0,0,0.266666667,5
245,0,0,0,0,0.466666667,0,0,0.2,0,0,0,0.333333333,17
246,0,0,0,0,0.470588235,0,0,0,0,0.529411765,0,0,15
247,0,0,0,0,0.473684211,0,0,0.105263158,0,0.210526316,0,0.210526316,17
248,0,0,0,0,0.476190476,0,0,0.19047619,0,0.095238095,0,0.238095238,17
249,0,0,0,0,0.476190476,0,0,0.238095238,0,0,0,0.285714286,24
250,0,0,0,0,0.476190476,0,0.095238095,0.142857143,0,0,0,0.285714286,17
251,0,0,0,0,0.47826087,0,0,0,0.043478261,0,0,0.47826087,5
252,0,0,0,0,0.47826087,0,0,0.347826087,0,0,0,0.173913043,17
253,0,0,0,0,0.47826087,0,0.02173913,0,0.239130435,0,0,0.260869565,21
254,0,0,0,0,0.47826087,0,0.043478261,0,0.217391304,0,0,0.260869565,21
255,0,0,0,0,0.483870968,0,0.032258065,0,0.193548387,0,0.032258065,0.258064516,7
256,0,0,0,0,0.491525424,0,0.101694915,0.06779661,0,0.033898305,0,0.305084746,17
257,0,0,0,0,0.5,0,0,0,0,0,0,0.5,5
258,0,0,0,0,0.5,0,0,0,0,0,0,0.5,17
259,0,0,0,0,0.5,0,0,0,0,0,0,0.5,19
260,0,0,0,0,0.5,0,0,0,0,0.25,0,0.25,5
261,0,0,0,0,0.5,0,0,0,0,0.5,0,0,15
262,0,0,0,0,0.5,0,0,0,0,0.5,0,0,22
263,0,0,0,0,0.5,0,0,0,0.166666667,0,0,0.333333333,5
264,0,0,0,0,0.5,0,0,0,0.166666667,0,0,0.333333333,22
265,0,0,0,0,0.5,0,0,0,0.25,0,0,0.25,5
266,0,0,0,0,0.5,0,0,0,0.25,0,0,0.25,19
267,0,0,0,0,0.5,0,0,0,0.277777778,0,0,0.222222222,10
268,0,0,0,0,0.5,0,0,0.166666667,0,0,0,0.333333333,17
269,0,0,0,0,0.5,0,0,0.166666667,0,0,0,0.333333333,22
270,0,0,0,0,0.5,0,0,0.166666667,0,0,0,0.333333333,24
271,0,0,0,0,0.5,0,0,0.25,0,0,0,0.25,17
272,0,0,0,0,0.5,0,0,0.25,0,0.125,0,0.125,17
273,0,0,0,0,0.5,0,0,0.5,0,0,0,0,13
274,0,0,0,0,0.5,0,0,0.5,0,0,0,0,17
275,0,0,0,0,0.5,0,0.045454545,0.227272727,0,0.045454545,0,0.181818182,17
276,0,0,0,0,0.5,0,0.055555556,0.222222222,0,0,0,0.222222222,17
277,0,0,0,0,0.5,0,0.083333333,0.25,0,0,0,0.166666667,17
278,0,0,0,0,0.5,0,0.1,0.15,0,0,0,0.25,17
279,0,0,0,0,0.5,0,0.136363636,0.181818182,0,0,0,0.181818182,17
280,0,0,0,0,0.5,0,0.1875,0.09375,0,0,0,0.21875,8
281,0,0,0,0,0.5,0,0.5,0,0,0,0,0,5
282,0,0,0,0,0.538461538,0,0,0.153846154,0,0,0,0.307692308,17
283,0,0,0,0,0.545454545,0,0,0.272727273,0,0,0,0.181818182,8
284,0,0,0,0,0.545454545,0,0.090909091,0.181818182,0,0,0,0.181818182,24
285,0,0,0,0,0.559322034,0,0.033898305,0.186440678,0,0,0,0.220338983,17
286,0,0,0,0,0.563636364,0,0,0.181818182,0,0,0,0.254545455,17
287,0,0,0,0,0.565217391,0,0,0.043478261,0,0.043478261,0,0.347826087,17
288,0,0,0,0,0.571428571,0,0,0,0,0.428571429,0,0,5
289,0,0,0,0,0.571428571,0,0.047619048,0,0.238095238,0.047619048,0,0.095238095,19
290,0,0,0,0,0.573529412,0,0.029411765,0.088235294,0,0.029411765,0,0.279411765,17
291,0,0,0,0,0.576271186,0,0.033898305,0.169491525,0,0,0,0.220338983,17
292,0,0,0,0,0.576923077,0,0,0,0.153846154,0,0,0.269230769,7
293,0,0,0,0,0.58,0.02,0,0.26,0,0.02,0,0.12,1
294,0,0,0,0,0.581395349,0,0.046511628,0,0.046511628,0,0,0.325581395,17
295,0,0,0,0,0.590909091,0,0.045454545,0,0.045454545,0,0,0.318181818,17
296,0,0,0,0,0.590909091,0,0.136363636,0.045454545,0,0.045454545,0,0.181818182,17
297,0,0,0,0,0.6,0,0,0,0,0,0,0.4,17
298,0,0,0,0,0.6,0,0,0,0,0.2,0,0.2,24
299,0,0,0,0,0.6,0,0,0.146666667,0,0,0,0.253333333,17
300,0,0,0,0,0.6,0,0,0.15,0,0,0,0.25,17
301,0,0,0,0,0.6,0,0.1,0.05,0,0.05,0,0.2,17
302,0,0,0,0,0.6,0.2,0,0,0,0,0,0.2,22
303,0,0,0,0,0.609756098,0,0,0.024390244,0,0.073170732,0,0.292682927,17
304,0,0,0,0,0.609756098,0,0.024390244,0,0.048780488,0,0,0.317073171,17
305,0,0,0,0,0.611111111,0,0,0,0,0.055555556,0,0.333333333,17
306,0,0,0,0,0.615384615,0,0,0.076923077,0,0,0,0.307692308,17
307,0,0,0,0,0.617647059,0,0,0.029411765,0,0.088235294,0,0.264705882,17
308,0,0,0,0,0.619047619,0,0.023809524,0,0.023809524,0,0,0.333333333,17
309,0,0,0,0,0.625,0,0,0,0.25,0,0,0.125,19
310,0,0,0,0,0.631578947,0,0,0,0,0.026315789,0,0.342105263,17
311,0,0,0,0,0.631578947,0,0,0,0,0.052631579,0,0.315789474,17
312,0,0,0,0,0.636363636,0,0,0,0,0,0,0.363636364,17
313,0,0,0,0,0.636363636,0,0,0.181818182,0,0,0,0.181818182,17
314,0,0,0,0,0.641025641,0,0,0.025641026,0,0.025641026,0,0.307692308,17
315,0,0,0,0,0.641509434,0,0,0.150943396,0,0.018867925,0,0.188679245,17
316,0,0,0,0,0.644444444,0,0,0.155555556,0,0.066666667,0,0.133333333,1
317,0,0,0,0,0.647058824,0,0,0,0.147058824,0.088235294,0,0.117647059,19
318,0,0,0,0,0.657142857,0,0,0,0,0,0,0.342857143,17
319,0,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333,17
320,0,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333,24
321,0,0,0,0,0.666666667,0,0,0,0.090909091,0.090909091,0,0.151515152,19
322,0,0,0,0,0.666666667,0,0,0,0.111111111,0,0,0.222222222,5
323,0,0,0,0,0.666666667,0,0,0,0.121212121,0.090909091,0,0.121212121,19
324,0,0,0,0,0.666666667,0,0,0.023809524,0,0.023809524,0,0.285714286,17
325,0,0,0,0,0.666666667,0,0,0.111111111,0,0,0,0.222222222,24
326,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,15
327,0,0,0,0,0.673469388,0,0,0.204081633,0,0,0,0.12244898,1
328,0,0,0,0,0.675675676,0,0,0,0,0,0,0.324324324,17
329,0,0,0,0,0.692307692,0,0,0,0,0,0,0.307692308,17
330,0,0,0,0,0.692307692,0,0,0.153846154,0,0,0,0.153846154,17
331,0,0,0,0,0.7,0,0,0.1,0,0.2,0,0,17
332,0,0,0,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143,5
333,0,0,0,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143,19
334,0,0,0,0,0.727272727,0,0,0,0.136363636,0,0,0.136363636,5
335,0,0,0,0,0.733333333,0,0,0,0.066666667,0.066666667,0,0.133333333,19
336,0,0,0,0,0.75,0,0,0,0,0,0,0.25,22
337,0,0,0,0,0.75,0,0,0,0.083333333,0,0,0.166666667,5
338,0,0,0,0,0.75,0,0,0,0.125,0,0,0.125,5
339,0,0,0,0,0.75,0,0,0.09375,0,0.09375,0,0.0625,1
340,0,0,0,0,0.75862069,0,0,0,0,0,0,0.24137931,17
341,0,0,0,0,0.777777778,0,0,0,0.111111111,0,0,0.111111111,5
342,0,0,0,0,0.8,0,0,0.066666667,0,0.1,0,0.033333333,1
343,0,0,0,0,0.8,0,0,0.1,0,0,0,0.1,17
344,0,0,0,0,0.818181818,0,0,0,0.090909091,0,0,0.090909091,5
345,0,0,0,0,0.862068966,0,0.034482759,0,0.068965517,0,0,0.034482759,19
346,0,0,0,0,0.875,0,0,0.125,0,0,0,0,17
347,0,0,0,0,1,0,0,0,0,0,0,0,5
348,0,0,0,0,1,0,0,0,0,0,0,0,14
349,0,0,0,0,1,0,0,0,0,0,0,0,17
350,0,0,0,0.027777778,0.333333333,0,0.055555556,0.277777778,0,0.027777778,0,0.277777778,8
351,0,0,0,0.037037037,0.037037037,0,0.444444444,0,0,0,0,0.481481481,5
352,0,0,0,0.037037037,0.518518519,0,0.037037037,0,0.037037037,0,0,0.37037037,5
353,0,0,0,0.040816327,0.387755102,0,0,0,0.224489796,0.020408163,0,0.326530612,5
354,0,0,0,0.041666667,0.333333333,0,0.083333333,0.291666667,0,0.041666667,0,0.208333333,8
355,0,0,0,0.05,0.35,0.05,0.05,0,0.1,0,0.1,0.3,12
356,0,0,0,0.055555556,0,0,0,0,0.111111111,0.777777778,0,0.055555556,16
357,0,0,0,0.055555556,0.055555556,0,0.388888889,0,0,0,0,0.5,5
358,0,0,0,0.056603774,0.169811321,0,0.301886792,0,0.018867925,0,0,0.452830189,14
359,0,0,0,0.057692308,0.173076923,0,0.288461538,0,0.019230769,0.019230769,0,0.442307692,14
360,0,0,0,0.058823529,0.058823529,0,0.352941176,0,0,0,0,0.529411765,5
